CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,hu_post,aff_units_post,is_oz,other_units_post,aff_share_post,group,is_top_aff
"3","5",Staten Island,"000300","5000300",I,St. George-New Brighton,SI0101,SI01,SI01 North Shore (CD 1 Equivalent),"36085000300","4501",16590.28438110000,4116728.66464000009,1196,0,1,1196,"0",,
"6","5",Staten Island,"000600","5000600",E,Rosebank-Shore Acres-Park Hill,SI0103,SI01,SI01 North Shore (CD 1 Equivalent),"36085000600","4501",22538.81342020000,7194518.04274000041,1485,0,0,1485,"0",,
"7","5",Staten Island,"000700","5000700",E,St. George-New Brighton,SI0101,SI01,SI01 North Shore (CD 1 Equivalent),"36085000700","4501",11383.80054330000,5500140.82691999990,2081,892,1,1189,"0.42864007688611244",,
"9","5",Staten Island,"000900","5000900",E,St. George-New Brighton,SI0101,SI01,SI01 North Shore (CD 1 Equivalent),"36085000900","4501",7729.01672908000,2497009.68387999991,1058,112,0,946,"0.10586011342155009",,
"11","5",Staten Island,"001100","5001100",E,St. George-New Brighton,SI0101,SI01,SI01 North Shore (CD 1 Equivalent),"36085001100","4501",8675.07888027000,3496829.93843000010,1527,0,1,1527,"0",,
"17","5",Staten Island,"001700","5001700",E,Tompkinsville-Stapleton-Clifton-Fox Hills,SI0102,SI01,SI01 North Shore (CD 1 Equivalent),"36085001700","4501",7691.39833936000,3295780.59194999980,700,0,0,700,"0",,
"27","5",Staten Island,"002700","5002700",I,Tompkinsville-Stapleton-Clifton-Fox Hills,SI0102,SI01,SI01 North Shore (CD 1 Equivalent),"36085002700","4501",6745.56774055000,2702766.38096000021,547,0,0,547,"0",,
"29","5",Staten Island,"002900","5002900",E,Tompkinsville-Stapleton-Clifton-Fox Hills,SI0102,SI01,SI01 North Shore (CD 1 Equivalent),"36085002900","4501",10895.34562560000,5669715.96557000000,2257,0,0,2257,"0",,
"40.01","5",Staten Island,"004001","5004001",E,Tompkinsville-Stapleton-Clifton-Fox Hills,SI0102,SI01,SI01 North Shore (CD 1 Equivalent),"36085004001","4501",7910.60454816000,3280268.22789999982,1168,0,0,1168,"0",,
"40.02","5",Staten Island,"004002","5004002",I,Rosebank-Shore Acres-Park Hill,SI0103,SI01,SI01 North Shore (CD 1 Equivalent),"36085004002","4501",10391.37096660000,3489305.17375000007,868,0,0,868,"0",,
"40.03","5",Staten Island,"004003","5004003",E,Rosebank-Shore Acres-Park Hill,SI0103,SI01,SI01 North Shore (CD 1 Equivalent),"36085004003","4501",6563.60438886000,2255580.65803000005,1581,0,0,1581,"0",,
"40.04","5",Staten Island,"004004","5004004",I,Rosebank-Shore Acres-Park Hill,SI0103,SI01,SI01 North Shore (CD 1 Equivalent),"36085004004","4501",8684.39846244000,3812668.43488000007,1277,0,0,1277,"0",,
"50","5",Staten Island,"005000","5005000",E,Grasmere-Arrochar-South Beach-Dongan Hills,SI0201,SI02,SI02 Mid-Island (CD 2 Approximation),"36085005000","4502",14166.14862310000,8988537.42459000088,1517,0,0,1517,"0",,
"70.01","5",Staten Island,"007001","5007001",I,Grasmere-Arrochar-South Beach-Dongan Hills,SI0201,SI02,SI02 Mid-Island (CD 2 Approximation),"36085007001","4502",10846.39578690000,5089009.38007999957,1089,0,0,1089,"0",,
"74","5",Staten Island,"007400","5007400",I,Grasmere-Arrochar-South Beach-Dongan Hills,SI0201,SI02,SI02 Mid-Island (CD 2 Approximation),"36085007400","4502",9902.94917321000,5788237.97644999903,1951,0,0,1951,"0",,
"81","5",Staten Island,"008100","5008100",I,St. George-New Brighton,SI0101,SI01,SI01 North Shore (CD 1 Equivalent),"36085008100","4501",12672.51379500000,8222204.04858000018,2038,0,0,2038,"0",,
"97.01","5",Staten Island,"009701","5009701",I,West New Brighton-Silver Lake-Grymes Hill,SI0104,SI01,SI01 North Shore (CD 1 Equivalent),"36085009701","4501",19778.05872810000,7426370.70856000017,1637,0,0,1637,"0",,
"97.02","5",Staten Island,"009702","5009702",I,Snug Harbor,SI0191,SI01,SI01 North Shore (CD 1 Equivalent),"36085009702","4501",9028.40279669000,3768355.15915000020,23,0,0,23,"0",,
"105","5",Staten Island,"010500","5010500",I,West New Brighton-Silver Lake-Grymes Hill,SI0104,SI01,SI01 North Shore (CD 1 Equivalent),"36085010500","4501",12556.27103550000,8794153.20748000033,1876,0,0,1876,"0",,
"112.01","5",Staten Island,"011201","5011201",I,New Dorp-Midland Beach,SI0202,SI02,SI02 Mid-Island (CD 2 Approximation),"36085011201","4502",18352.11702130000,17602509.92650000006,1981,0,0,1981,"0",,
"112.03","5",Staten Island,"011203","5011203",E,New Dorp-Midland Beach,SI0202,SI02,SI02 Mid-Island (CD 2 Approximation),"36085011203","4502",17201.29302900000,10829860.30279999971,2368,0,0,2368,"0",,
"114.01","5",Staten Island,"011401","5011401",E,Grasmere-Arrochar-South Beach-Dongan Hills,SI0201,SI02,SI02 Mid-Island (CD 2 Approximation),"36085011401","4502",9647.61515044000,5672548.76035000011,1456,0,0,1456,"0",,
"121","5",Staten Island,"012100","5012100",I,West New Brighton-Silver Lake-Grymes Hill,SI0104,SI01,SI01 North Shore (CD 1 Equivalent),"36085012100","4501",11138.02690800000,7991818.06228000019,1272,0,0,1272,"0",,
"122","5",Staten Island,"012200","5012200",I,New Dorp-Midland Beach,SI0202,SI02,SI02 Mid-Island (CD 2 Approximation),"36085012200","4502",12097.96374700000,8917444.13389999978,1484,0,0,1484,"0",,
"128.05","5",Staten Island,"012805","5012805",I,Oakwood-Richmondtown,SI0301,SI03,SI03 South Shore (CD 3 Approximation),"36085012805","4503",14455.68346720000,10625946.44250000082,791,0,0,791,"0",,
"128.06","5",Staten Island,"012806","5012806",E,Oakwood-Richmondtown,SI0301,SI03,SI03 South Shore (CD 3 Approximation),"36085012806","4503",16690.45841740000,13858119.88670000061,2449,0,0,2449,"0",,
"133.01","5",Staten Island,"013301","5013301",E,West New Brighton-Silver Lake-Grymes Hill,SI0104,SI01,SI01 North Shore (CD 1 Equivalent),"36085013301","4501",3426.12216578000,721333.33921799995,547,0,1,547,"0",Bottom OZs (by units),NA
"134","5",Staten Island,"013400","5013400",I,New Dorp-Midland Beach,SI0202,SI02,SI02 Mid-Island (CD 2 Approximation),"36085013400","4502",12643.96646010000,9158025.01999000087,1551,0,0,1551,"0",,
"146.08","5",Staten Island,"014608","5014608",I,Great Kills-Eltingville,SI0302,SI03,SI03 South Shore (CD 3 Approximation),"36085014608","4503",9458.91034367000,4831070.42542000022,1317,0,0,1317,"0",,
"154","5",Staten Island,"015400","5015400",I,Great Kills Park,SI9593,SI95,SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),"36085015400","4503",41465.43018770001,23377914.18400000036,0,0,0,0,NA,,
"169.01","5",Staten Island,"016901","5016901",I,Westerleigh-Castleton Corners,SI0105,SI01,SI01 North Shore (CD 1 Equivalent),"36085016901","4501",16200.51010950000,8793357.86755000055,1117,0,0,1117,"0",,
"170.07","5",Staten Island,"017007","5017007",I,Arden Heights-Rossville,SI0303,SI03,SI03 South Shore (CD 3 Approximation),"36085017007","4503",15901.21020840000,15731555.57719999924,1902,0,0,1902,"0",,
"170.09","5",Staten Island,"017009","5017009",I,Annadale-Huguenot-Prince's Bay-Woodrow,SI0304,SI03,SI03 South Shore (CD 3 Approximation),"36085017009","4503",14853.84434540000,12741940.42669999786,1681,0,0,1681,"0",,
