year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2023,"1",Manhattan,"026500","1026500",Washington Heights (North),MN1202,MN12,"36061026500",,,3
2023,"1",Manhattan,"027100","1027100",Washington Heights (North),MN1202,MN12,"36061027100",,,4
2023,"1",Manhattan,"027500","1027500",Washington Heights (North),MN1202,MN12,"36061027500",,,4
2023,"1",Manhattan,"027300","1027300",Washington Heights (North),MN1202,MN12,"36061027300",,,4
2023,"1",Manhattan,"028100","1028100",Washington Heights (North),MN1202,MN12,"36061028100",,,8
2023,"1",Manhattan,"027900","1027900",Washington Heights (North),MN1202,MN12,"36061027900",Top OZs (by units),NA,13
2023,"1",Manhattan,"028300","1028300",Washington Heights (North),MN1202,MN12,"36061028300",,,16
2023,"1",Manhattan,"028500","1028500",Washington Heights (North),MN1202,MN12,"36061028500",,,16
2023,"1",Manhattan,"028700","1028700",Washington Heights (North),MN1202,MN12,"36061028700",,,16
2023,"1",Manhattan,"026900","1026900",Washington Heights (North),MN1202,MN12,"36061026900",,,4
2023,"1",Manhattan,"026700","1026700",Washington Heights (North),MN1202,MN12,"36061026700",,,3
2023,"1",Manhattan,"027700","1027700",Washington Heights (North),MN1202,MN12,"36061027700",,,15
2023,"1",Manhattan,"031100","1031100",Highbridge Park,MN1291,MN12,"36061031100",,,20
2021,"3",Brooklyn,"051300","3051300",Williamsburg,BK0102,BK01,"36047051300",,,4
2021,"3",Brooklyn,"051900","3051900",Williamsburg,BK0102,BK01,"36047051900",,,3
2021,"3",Brooklyn,"052300","3052300",Williamsburg,BK0102,BK01,"36047052300",,,2
2021,"3",Brooklyn,"052700","3052700",Williamsburg,BK0102,BK01,"36047052700",,,3
2021,"3",Brooklyn,"052900","3052900",South Williamsburg,BK0103,BK01,"36047052900",,,3
2021,"3",Brooklyn,"053300","3053300",South Williamsburg,BK0103,BK01,"36047053300",,,2
2021,"3",Brooklyn,"055300","3055300",Williamsburg,BK0102,BK01,"36047055300",,,2
2021,"3",Brooklyn,"054500","3054500",South Williamsburg,BK0103,BK01,"36047054500",,,1
2021,"3",Brooklyn,"053900","3053900",South Williamsburg,BK0103,BK01,"36047053900",,,1
2021,"1",Manhattan,"002400","1002400",East Village,MN0303,MN03,"36061002400",,,3
2021,"3",Brooklyn,"054700","3054700",Williamsburg,BK0102,BK01,"36047054700",,,1
2021,"3",Brooklyn,"054900","3054900",Williamsburg,BK0102,BK01,"36047054900",,,2
2021,"3",Brooklyn,"055100","3055100",Williamsburg,BK0102,BK01,"36047055100",,,2
2021,"3",Brooklyn,"055500","3055500",Williamsburg,BK0102,BK01,"36047055500",,,1
2021,"3",Brooklyn,"052500","3052500",Williamsburg,BK0102,BK01,"36047052500",,,2
2021,"3",Brooklyn,"053500","3053500",South Williamsburg,BK0103,BK01,"36047053500",,,2
