geoid,hu_post,aff_units_post,is_oz,other_units_post,aff_share_post
36001000100,940,0,0,940,0
36001000201,1674,0,0,1674,0
36001000202,1271,0,0,1271,0
36001000301,1573,0,0,1573,0
36001000302,2213,0,0,2213,0
36001000401,1066,0,0,1066,0
36001000403,2384,0,0,2384,0
36001000404,54,0,0,54,0
36001000501,2032,0,0,2032,0
36001000502,1182,0,0,1182,0
36001000600,1628,0,0,1628,0
36001000700,1903,0,0,1903,0
36001000800,1180,0,0,1180,0
36001001100,1476,0,1,1476,0
36001001400,3144,0,0,3144,0
36001001500,2811,0,0,2811,0
36001001600,2048,0,0,2048,0
36001001700,2213,0,0,2213,0
36001001802,2181,0,0,2181,0
36001001803,1940,0,0,1940,0
36001001804,1921,0,0,1921,0
36001001901,1301,0,0,1301,0
36001001902,1201,0,0,1201,0
36001002000,2855,0,0,2855,0
36001002100,1506,0,1,1506,0
36001002200,1677,0,0,1677,0
36001002300,1391,0,1,1391,0
36001002500,1680,0,1,1680,0
36001002600,2264,0,1,2264,0
36001012700,1817,0,0,1817,0
36001012800,2100,0,0,2100,0
36001012900,2167,0,0,2167,0
36001013000,2936,0,0,2936,0
36001013100,1758,0,0,1758,0
36001013200,1888,0,0,1888,0
36001013300,2648,0,0,2648,0
36001013400,1444,0,0,1444,0
36001013503,2038,0,0,2038,0
36001013505,1131,0,0,1131,0
36001013507,1233,0,0,1233,0
36001013509,1426,0,0,1426,0
36001013510,1671,0,0,1671,0
36001013511,1411,0,0,1411,0
36001013512,1479,0,0,1479,0
36001013602,2174,0,0,2174,0
36001013603,1477,0,0,1477,0
36001013604,2494,0,0,2494,0
36001013703,705,0,0,705,0
36001013706,734,0,0,734,0
36001013707,2532,0,0,2532,0
36001013708,1721,0,0,1721,0
36001013709,1290,0,0,1290,0
36001013802,1707,0,0,1707,0
36001013803,1486,0,0,1486,0
36001013804,1934,0,0,1934,0
36001013901,1038,0,0,1038,0
36001013902,2185,0,0,2185,0
36001014001,2060,0,0,2060,0
36001014002,2099,0,0,2099,0
36001014100,2511,0,0,2511,0
36001014201,2426,0,0,2426,0
36001014202,2705,0,0,2705,0
36001014203,2617,0,0,2617,0
36001014301,1433,0,0,1433,0
36001014303,1860,0,0,1860,0
36001014304,1516,0,0,1516,0
36001014401,2115,0,0,2115,0
36001014402,1648,0,0,1648,0
36001014501,1172,0,0,1172,0
36001014502,1381,0,0,1381,0
36001014503,1128,0,0,1128,0
36001014606,1508,0,0,1508,0
36001014608,1322,0,0,1322,0
36001014609,2666,0,0,2666,0
36001014611,915,0,0,915,0
36001014612,737,0,0,737,0
36001014613,1232,0,0,1232,0
36001014614,2514,0,0,2514,0
36001014615,1452,0,0,1452,0
36001014616,2119,0,0,2119,0
36001014617,989,0,0,989,0
36001014700,1117,0,0,1117,0
36001014801,1554,0,0,1554,0
36001014802,1249,0,0,1249,0
36001014803,1581,0,0,1581,0
36003940200,2,0,0,2,0
36003950100,1454,0,0,1454,0
36003950300,1777,0,0,1777,0
36003950401,957,0,0,957,0
36003950402,1894,0,0,1894,0
36003950500,2060,0,0,2060,0
36003950600,1680,0,0,1680,0
36003950700,2119,0,1,2119,0
36003950800,1854,0,1,1854,0
36003950900,1862,0,0,1862,0
36003951000,1582,0,0,1582,0
36003951100,1722,0,0,1722,0
36003951201,1142,0,0,1142,0
36003951202,1275,0,0,1275,0
36003951301,880,0,0,880,0
36003951302,1278,0,0,1278,0
36005000100,0,0,0,0,NA
36005000200,1504,0,0,1504,0
36005000400,2260,0,0,2260,0
36005001600,2149,353,0,1796,0.1642624476500698
36005001901,1104,0,0,1104,0
36005001902,593,0,0,593,0
36005001903,0,0,0,0,NA
36005001904,0,0,0,0,NA
36005002001,1758,0,0,1758,0
36005002002,1896,0,0,1896,0
36005002300,1917,0,1,1917,0
36005002400,0,0,0,0,NA
36005002500,1910,117,1,1793,0.0612565445026178
36005002701,1214,0,1,1214,0
36005002702,1565,0,1,1565,0
36005002800,2777,1335,1,1442,0.4807346056895931
36005003100,1126,410,0,716,0.3641207815275311
36005003300,1259,232,0,1027,0.18427323272438442
36005003500,1512,50,1,1462,0.03306878306878307
36005003700,158,0,0,158,0
36005003800,396,10,0,386,0.025252525252525252
36005003900,2430,557,1,1873,0.22921810699588477
36005004001,559,0,0,559,0
36005004100,2437,370,1,2067,0.15182601559294215
36005004200,2868,314,0,2554,0.10948396094839609
36005004300,2211,147,1,2064,0.06648575305291723
36005004400,1642,205,0,1437,0.1248477466504263
36005004600,691,0,0,691,0
36005004800,1504,0,0,1504,0
36005005001,1551,0,1,1551,0
36005005002,2081,0,0,2081,0
36005005100,2621,906,1,1715,0.3456695917588707
36005005200,904,0,1,904,0
36005005300,1621,0,0,1621,0
36005005400,1942,0,0,1942,0
36005005600,1126,0,0,1126,0
36005005902,1311,0,1,1311,0
36005006000,400,0,0,400,0
36005006100,2040,1874,1,166,0.9186274509803921
36005006200,2757,0,0,2757,0
36005006301,2617,0,0,2617,0
36005006302,0,0,0,0,NA
36005006400,1519,249,0,1270,0.16392363396971693
36005006500,2237,154,1,2083,0.06884219937416182
36005006700,2595,120,1,2475,0.046242774566473986
36005006800,1052,0,0,1052,0
36005006900,2846,154,0,2692,0.054111033028812365
36005007000,1629,258,0,1371,0.15837937384898712
36005007100,1386,709,1,677,0.5115440115440115
36005007200,1828,52,0,1776,0.028446389496717725
36005007300,1599,145,0,1454,0.0906816760475297
36005007400,1400,0,0,1400,0
36005007500,2469,175,1,2294,0.07087889833940866
36005007600,2029,0,0,2029,0
36005007700,606,0,0,606,0
36005007800,2136,0,0,2136,0
36005007900,2339,84,0,2255,0.03591278324070116
36005008300,2276,57,0,2219,0.025043936731107205
36005008400,1029,0,0,1029,0
36005008500,2130,121,0,2009,0.0568075117370892
36005008600,1560,0,0,1560,0
36005008700,2109,118,1,1991,0.0559506875296349
36005008900,1395,329,1,1066,0.23584229390681002
36005009000,1248,0,1,1248,0
36005009200,1970,206,0,1764,0.10456852791878173
36005009301,2009,0,0,2009,0
36005009302,0,0,0,0,NA
36005009600,931,0,1,931,0
36005009800,1780,0,0,1780,0
36005011000,0,0,0,0,NA
36005011502,1564,0,1,1564,0
36005011701,519,0,0,519,0
36005011702,0,0,0,0,NA
36005011800,1698,0,0,1698,0
36005011900,1949,335,1,1614,0.17188301693175986
36005012101,1061,0,1,1061,0
36005012102,611,0,1,611,0
36005012300,1762,298,1,1464,0.16912599318955732
36005012500,1476,241,0,1235,0.1632791327913279
36005012701,775,0,1,775,0
36005012901,1853,0,1,1853,0
36005013000,488,0,0,488,0
36005013100,2257,251,1,2006,0.11120957022596367
36005013200,2609,0,0,2609,0
36005013300,2300,216,0,2084,0.09391304347826086
36005013500,1505,95,0,1410,0.06312292358803986
36005013800,1273,0,0,1273,0
36005014100,2997,693,1,2304,0.23123123123123124
36005014300,717,21,0,696,0.029288702928870293
36005014400,2431,0,0,2431,0
36005014500,2449,356,1,2093,0.1453654552878726
36005014701,2091,0,0,2091,0
36005014702,1881,0,0,1881,0
36005014900,1568,83,1,1485,0.05293367346938776
36005015100,2330,281,0,2049,0.12060085836909872
36005015200,1036,0,0,1036,0
36005015300,1890,73,0,1817,0.038624338624338624
36005015500,1118,23,0,1095,0.020572450805008944
36005015700,2303,502,1,1801,0.21797655232305688
36005015800,546,0,0,546,0
36005015900,929,530,0,399,0.5705059203444564
36005016000,1678,0,0,1678,0
36005016100,2274,303,1,1971,0.13324538258575197
36005016200,589,0,0,589,0
36005016300,0,0,0,0,NA
36005016400,457,0,0,457,0
36005016500,360,41,1,319,0.11388888888888889
36005016600,937,0,0,937,0
36005016700,1123,0,1,1123,0
36005016900,621,0,0,621,0
36005017100,0,0,0,0,NA
36005017300,2305,157,0,2148,0.06811279826464209
36005017500,3070,169,1,2901,0.05504885993485342
36005017701,1453,0,1,1453,0
36005017702,1738,0,0,1738,0
36005017901,1773,0,0,1773,0
36005017902,1380,0,0,1380,0
36005018101,1048,0,0,1048,0
36005018102,2174,0,1,2174,0
36005018301,2050,0,1,2050,0
36005018302,1496,0,0,1496,0
36005018400,1426,0,0,1426,0
36005018501,1398,0,0,1398,0
36005018502,2156,0,0,2156,0
36005018900,3026,510,1,2516,0.16853932584269662
36005019300,2418,249,1,2169,0.10297766749379653
36005019400,771,0,0,771,0
36005019500,2700,0,1,2700,0
36005019700,2499,132,1,2367,0.05282112845138055
36005019900,3184,517,1,2667,0.16237437185929648
36005020000,1534,0,0,1534,0
36005020100,1496,247,1,1249,0.16510695187165775
36005020200,1025,0,0,1025,0
36005020400,1122,7,0,1115,0.006238859180035651
36005020501,2664,0,1,2664,0
36005020502,1039,0,1,1039,0
36005020601,1113,0,0,1113,0
36005020900,2066,429,0,1637,0.20764762826718297
36005021001,3936,0,0,3936,0
36005021002,3388,0,0,3388,0
36005021100,2090,617,0,1473,0.2952153110047847
36005021200,2512,0,0,2512,0
36005021301,450,0,0,450,0
36005021302,2361,0,0,2361,0
36005021501,1355,0,0,1355,0
36005021502,2256,0,1,2256,0
36005021601,1610,0,0,1610,0
36005021602,2502,0,0,2502,0
36005021700,1857,640,0,1217,0.3446418955304254
36005021800,2464,0,0,2464,0
36005021900,433,293,0,140,0.6766743648960739
36005022000,716,0,0,716,0
36005022101,1301,0,0,1301,0
36005022102,1682,0,0,1682,0
36005022200,1176,42,0,1134,0.03571428571428571
36005022300,2201,352,0,1849,0.1599273057701045
36005022401,1066,0,0,1066,0
36005022403,1274,0,0,1274,0
36005022404,2034,0,0,2034,0
36005022500,2404,108,0,2296,0.04492512479201331
36005022701,2065,0,0,2065,0
36005022702,548,0,0,548,0
36005022703,708,0,0,708,0
36005022800,2418,0,0,2418,0
36005022901,2078,0,0,2078,0
36005022902,1200,0,0,1200,0
36005023000,1034,0,0,1034,0
36005023100,459,0,1,459,0
36005023200,920,14,0,906,0.015217391304347827
36005023301,1692,0,0,1692,0
36005023302,1066,0,0,1066,0
36005023501,1244,0,0,1244,0
36005023502,1645,0,0,1645,0
36005023600,592,0,0,592,0
36005023702,323,0,0,323,0
36005023703,1831,0,0,1831,0
36005023704,1452,0,0,1452,0
36005023800,846,11,0,835,0.013002364066193853
36005023900,2701,117,0,2584,0.04331728989263236
36005024000,1470,0,0,1470,0
36005024100,2374,607,0,1767,0.2556866048862679
