State,Low Income Communities (LICs)
Alabama,01001020200
Alabama,01001020700
Alabama,01001021100
Alabama,01003010200
Alabama,01003010500
Alabama,01003010600
Alabama,01003011000
Alabama,01003011406
Alabama,01003011407
Alabama,01003011502
Alabama,01003011601
Alabama,01005950100
Alabama,01005950200
Alabama,01005950300
Alabama,01005950500
Alabama,01005950600
Alabama,01005950700
Alabama,01005950900
Alabama,01007010001
Alabama,01007010002
Alabama,01007010004
Alabama,01009050300
Alabama,01009050400
Alabama,01009050500
Alabama,01011952100
Alabama,01011952200
Alabama,01011952500
Alabama,01013952700
Alabama,01013952900
Alabama,01013953000
Alabama,01013953100
Alabama,01013953200
Alabama,01013953400
Alabama,01013953500
Alabama,01015000200
Alabama,01015000300
Alabama,01015000400
Alabama,01015000500
Alabama,01015000600
Alabama,01015000700
Alabama,01015000800
Alabama,01015000900
Alabama,01015001201
Alabama,01015001300
Alabama,01015001400
Alabama,01015001600
Alabama,01015002101
Alabama,01015002103
Alabama,01015002200
Alabama,01015002300
Alabama,01017953800
Alabama,01017953900
Alabama,01017954000
Alabama,01017954300
Alabama,01017954400
Alabama,01017954500
Alabama,01019955701
Alabama,01019955702
Alabama,01019955900
Alabama,01021060101
Alabama,01021060102
Alabama,01021060402
Alabama,01021060600
Alabama,01023956700
Alabama,01023956800
Alabama,01023957000
Alabama,01025957500
Alabama,01025957601
Alabama,01025957700
Alabama,01025957800
Alabama,01025957901
Alabama,01025957902
Alabama,01025958001
Alabama,01025958002
Alabama,01027959000
Alabama,01027959100
Alabama,01027959200
Alabama,01029959500
Alabama,01029959600
Alabama,01029959700
Alabama,01031010100
Alabama,01031010400
Alabama,01031010500
Alabama,01031010600
Alabama,01031010900
Alabama,01031011300
Alabama,01033020100
Alabama,01033020200
Alabama,01033020300
Alabama,01033020801
Alabama,01033020802
Alabama,01033021000
Alabama,01035960200
Alabama,01035960300
Alabama,01035960400
Alabama,01035960500
Alabama,01035960600
Alabama,01037961000
Alabama,01039961700
Alabama,01039961800
Alabama,01039962000
Alabama,01039962100
Alabama,01039962600
Alabama,01039962700
Alabama,01039962800
Alabama,01039963000
Alabama,01041963700
Alabama,01041963900
Alabama,01043964800
Alabama,01043965000
Alabama,01043965300
Alabama,01043965401
Alabama,01043965402
Alabama,01043965700
Alabama,01045020500
Alabama,01045020700
Alabama,01045020802
Alabama,01045021102
Alabama,01045021400
Alabama,01047956100
Alabama,01047956201
Alabama,01047956300
Alabama,01047956400
Alabama,01047956500
Alabama,01047956600
Alabama,01047956702
Alabama,01047956800
Alabama,01047956900
Alabama,01047957000
Alabama,01047957100
Alabama,01047957200
Alabama,01047957300
Alabama,01049960200
Alabama,01049960300
Alabama,01049960700
Alabama,01049960800
Alabama,01049960900
Alabama,01049961300
