group3,year_c,aff_units_year,cum_aff_units,group_hu_post,share_cum_aff
Top 10 OZ tracts,2014,249,249,39263,0.0063418485597127065
Bottom 10 OZ tracts,2014,0,0,6426,0
"Eligible, not designated",2014,1947,1947,1363749,0.001427682073460732
Top 10 OZ tracts,2015,121,370,39263,0.009423630389934544
Bottom 10 OZ tracts,2015,0,0,6426,0
"Eligible, not designated",2015,1216,3163,1363749,0.002319341755704312
Top 10 OZ tracts,2016,248,618,39263,0.015740009678323102
Bottom 10 OZ tracts,2016,6,6,6426,9.337068160597573e-4
"Eligible, not designated",2016,5075,8238,1363749,0.006040701038094253
Top 10 OZ tracts,2017,281,899,39263,0.022896874920408528
Bottom 10 OZ tracts,2017,0,6,6426,9.337068160597573e-4
"Eligible, not designated",2017,9093,17331,1363749,0.012708350290266023
Top 10 OZ tracts,2018,435,1334,39263,0.03397600794641265
Bottom 10 OZ tracts,2018,76,82,6426,0.012760659819483348
"Eligible, not designated",2018,6814,24145,1363749,0.017704870910996085
Top 10 OZ tracts,2019,385,1719,39263,0.04378167740620941
Bottom 10 OZ tracts,2019,0,82,6426,0.012760659819483348
"Eligible, not designated",2019,11834,35979,1363749,0.026382420812040924
Top 10 OZ tracts,2020,430,2149,39263,0.0547334640755928
Bottom 10 OZ tracts,2020,0,82,6426,0.012760659819483348
"Eligible, not designated",2020,6291,42270,1363749,0.030995439776674447
Top 10 OZ tracts,2021,299,2448,39263,0.06234877620151288
Bottom 10 OZ tracts,2021,0,82,6426,0.012760659819483348
"Eligible, not designated",2021,7479,49749,1363749,0.03647958678613147
Top 10 OZ tracts,2022,154,2602,39263,0.06627104398543157
Bottom 10 OZ tracts,2022,0,82,6426,0.012760659819483348
"Eligible, not designated",2022,6331,56080,1363749,0.041121936661365106
Top 10 OZ tracts,2023,302,2904,39263,0.0739627639253241
Bottom 10 OZ tracts,2023,0,82,6426,0.012760659819483348
"Eligible, not designated",2023,9302,65382,1363749,0.04794283992142249
