"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US36005000100","Census Tract 1, Bronx County, New York","-","**",
"1400000US36005000200","Census Tract 2, Bronx County, New York","1615","194",
"1400000US36005000400","Census Tract 4, Bronx County, New York","1481","226",
"1400000US36005001600","Census Tract 16, Bronx County, New York","1065","50",
"1400000US36005001900","Census Tract 19, Bronx County, New York","1270","85",
"1400000US36005002000","Census Tract 20, Bronx County, New York","658","117",
"1400000US36005002300","Census Tract 23, Bronx County, New York","469","56",
"1400000US36005002400","Census Tract 24, Bronx County, New York","-","**",
"1400000US36005002500","Census Tract 25, Bronx County, New York","830","177",
"1400000US36005002701","Census Tract 27.01, Bronx County, New York","440","113",
"1400000US36005002702","Census Tract 27.02, Bronx County, New York","856","216",
"1400000US36005002800","Census Tract 28, Bronx County, New York","1025","85",
"1400000US36005003100","Census Tract 31, Bronx County, New York","1245","120",
"1400000US36005003300","Census Tract 33, Bronx County, New York","600","388",
"1400000US36005003500","Census Tract 35, Bronx County, New York","1051","68",
"1400000US36005003700","Census Tract 37, Bronx County, New York","1076","113",
"1400000US36005003800","Census Tract 38, Bronx County, New York","1029","168",
"1400000US36005003900","Census Tract 39, Bronx County, New York","1175","148",
"1400000US36005004001","Census Tract 40.01, Bronx County, New York","1161","199",
"1400000US36005004100","Census Tract 41, Bronx County, New York","653","202",
"1400000US36005004200","Census Tract 42, Bronx County, New York","948","185",
"1400000US36005004300","Census Tract 43, Bronx County, New York","791","159",
"1400000US36005004400","Census Tract 44, Bronx County, New York","561","129",
"1400000US36005004600","Census Tract 46, Bronx County, New York","777","96",
"1400000US36005004800","Census Tract 48, Bronx County, New York","1117","48",
"1400000US36005005001","Census Tract 50.01, Bronx County, New York","1268","68",
"1400000US36005005002","Census Tract 50.02, Bronx County, New York","1214","79",
"1400000US36005005100","Census Tract 51, Bronx County, New York","450","50",
"1400000US36005005200","Census Tract 52, Bronx County, New York","815","154",
"1400000US36005005300","Census Tract 53, Bronx County, New York","1112","64",
"1400000US36005005400","Census Tract 54, Bronx County, New York","1260","107",
"1400000US36005005600","Census Tract 56, Bronx County, New York","1126","130",
"1400000US36005005902","Census Tract 59.02, Bronx County, New York","1336","55",
"1400000US36005006000","Census Tract 60, Bronx County, New York","1169","58",
"1400000US36005006100","Census Tract 61, Bronx County, New York","1135","48",
"1400000US36005006200","Census Tract 62, Bronx County, New York","765","57",
"1400000US36005006300","Census Tract 63, Bronx County, New York","1233","92",
"1400000US36005006400","Census Tract 64, Bronx County, New York","1198","81",
"1400000US36005006500","Census Tract 65, Bronx County, New York","1019","93",
"1400000US36005006700","Census Tract 67, Bronx County, New York","815","155",
"1400000US36005006800","Census Tract 68, Bronx County, New York","1403","89",
"1400000US36005006900","Census Tract 69, Bronx County, New York","1084","95",
"1400000US36005007000","Census Tract 70, Bronx County, New York","1364","136",
"1400000US36005007100","Census Tract 71, Bronx County, New York","1057","133",
"1400000US36005007200","Census Tract 72, Bronx County, New York","1195","48",
"1400000US36005007300","Census Tract 73, Bronx County, New York","1008","282",
"1400000US36005007400","Census Tract 74, Bronx County, New York","1306","96",
"1400000US36005007500","Census Tract 75, Bronx County, New York","1035","98",
"1400000US36005007600","Census Tract 76, Bronx County, New York","1352","87",
"1400000US36005007700","Census Tract 77, Bronx County, New York","1230","203",
"1400000US36005007800","Census Tract 78, Bronx County, New York","1466","63",
"1400000US36005007900","Census Tract 79, Bronx County, New York","853","301",
"1400000US36005008300","Census Tract 83, Bronx County, New York","1071","115",
"1400000US36005008400","Census Tract 84, Bronx County, New York","1620","148",
"1400000US36005008500","Census Tract 85, Bronx County, New York","1035","69",
"1400000US36005008600","Census Tract 86, Bronx County, New York","598","236",
"1400000US36005008700","Census Tract 87, Bronx County, New York","1102","62",
"1400000US36005008900","Census Tract 89, Bronx County, New York","980","88",
"1400000US36005009000","Census Tract 90, Bronx County, New York","467","55",
"1400000US36005009200","Census Tract 92, Bronx County, New York","1387","54",
"1400000US36005009300","Census Tract 93, Bronx County, New York","1187","88",
"1400000US36005009600","Census Tract 96, Bronx County, New York","1536","136",
"1400000US36005009800","Census Tract 98, Bronx County, New York","1347","137",
"1400000US36005011000","Census Tract 110, Bronx County, New York","-","**",
"1400000US36005011502","Census Tract 115.02, Bronx County, New York","1030","99",
"1400000US36005011700","Census Tract 117, Bronx County, New York","1193","123",
"1400000US36005011800","Census Tract 118, Bronx County, New York","1754","195",
"1400000US36005011900","Census Tract 119, Bronx County, New York","1020","134",
"1400000US36005012101","Census Tract 121.01, Bronx County, New York","1138","86",
"1400000US36005012102","Census Tract 121.02, Bronx County, New York","688","148",
"1400000US36005012300","Census Tract 123, Bronx County, New York","798","107",
"1400000US36005012500","Census Tract 125, Bronx County, New York","1186","133",
"1400000US36005012701","Census Tract 127.01, Bronx County, New York","805","345",
"1400000US36005012901","Census Tract 129.01, Bronx County, New York","939","148",
"1400000US36005013000","Census Tract 130, Bronx County, New York","1468","560",
"1400000US36005013100","Census Tract 131, Bronx County, New York","1069","72",
"1400000US36005013200","Census Tract 132, Bronx County, New York","1411","120",
"1400000US36005013300","Census Tract 133, Bronx County, New York","750","145",
"1400000US36005013500","Census Tract 135, Bronx County, New York","747","105",
"1400000US36005013800","Census Tract 138, Bronx County, New York","1407","72",
"1400000US36005014100","Census Tract 141, Bronx County, New York","1054","85",
"1400000US36005014300","Census Tract 143, Bronx County, New York","696","166",
"1400000US36005014400","Census Tract 144, Bronx County, New York","495","146",
"1400000US36005014500","Census Tract 145, Bronx County, New York","1034","114",
"1400000US36005014701","Census Tract 147.01, Bronx County, New York","477","49",
"1400000US36005014702","Census Tract 147.02, Bronx County, New York","503","74",
"1400000US36005014900","Census Tract 149, Bronx County, New York","1081","81",
"1400000US36005015100","Census Tract 151, Bronx County, New York","1095","64",
"1400000US36005015200","Census Tract 152, Bronx County, New York","1451","158",
"1400000US36005015300","Census Tract 153, Bronx County, New York","1102","66",
"1400000US36005015500","Census Tract 155, Bronx County, New York","882","189",
"1400000US36005015700","Census Tract 157, Bronx County, New York","1049","121",
"1400000US36005015800","Census Tract 158, Bronx County, New York","1453","221",
"1400000US36005015900","Census Tract 159, Bronx County, New York","494","170",
"1400000US36005016000","Census Tract 160, Bronx County, New York","1715","73",
"1400000US36005016100","Census Tract 161, Bronx County, New York","447","56",
"1400000US36005016200","Census Tract 162, Bronx County, New York","1360","195",
"1400000US36005016300","Census Tract 163, Bronx County, New York","-","**",
"1400000US36005016400","Census Tract 164, Bronx County, New York","1371","244",
"1400000US36005016500","Census Tract 165, Bronx County, New York","1174","77",
"1400000US36005016600","Census Tract 166, Bronx County, New York","1794","181",
"1400000US36005016700","Census Tract 167, Bronx County, New York","1092","51",
"1400000US36005016900","Census Tract 169, Bronx County, New York","937","117",
"1400000US36005017100","Census Tract 171, Bronx County, New York","-","**",
"1400000US36005017300","Census Tract 173, Bronx County, New York","887","512",
"1400000US36005017500","Census Tract 175, Bronx County, New York","781","98",
"1400000US36005017701","Census Tract 177.01, Bronx County, New York","1374","151",
"1400000US36005017702","Census Tract 177.02, Bronx County, New York","1137","74",
"1400000US36005017901","Census Tract 179.01, Bronx County, New York","1219","76",
"1400000US36005017902","Census Tract 179.02, Bronx County, New York","1182","80",
"1400000US36005018101","Census Tract 181.01, Bronx County, New York","1158","91",
"1400000US36005018102","Census Tract 181.02, Bronx County, New York","1189","59",
"1400000US36005018301","Census Tract 183.01, Bronx County, New York","1184","55",
"1400000US36005018302","Census Tract 183.02, Bronx County, New York","1249","60",
"1400000US36005018400","Census Tract 184, Bronx County, New York","1403","94",
"1400000US36005018500","Census Tract 185, Bronx County, New York","1028","79",
"1400000US36005018900","Census Tract 189, Bronx County, New York","1165","72",
"1400000US36005019300","Census Tract 193, Bronx County, New York","947","107",
"1400000US36005019400","Census Tract 194, Bronx County, New York","1553","144",
"1400000US36005019500","Census Tract 195, Bronx County, New York","1201","49",
"1400000US36005019700","Census Tract 197, Bronx County, New York","1219","78",
"1400000US36005019900","Census Tract 199, Bronx County, New York","1152","90",
"1400000US36005020000","Census Tract 200, Bronx County, New York","1243","72",
"1400000US36005020100","Census Tract 201, Bronx County, New York","1144","72",
"1400000US36005020200","Census Tract 202, Bronx County, New York","1230","93",
"1400000US36005020400","Census Tract 204, Bronx County, New York","1342","54",
"1400000US36005020501","Census Tract 205.01, Bronx County, New York","827","246",
"1400000US36005020502","Census Tract 205.02, Bronx County, New York","908","215",
"1400000US36005020601","Census Tract 206.01, Bronx County, New York","1207","190",
"1400000US36005020900","Census Tract 209, Bronx County, New York","1104","58",
"1400000US36005021001","Census Tract 210.01, Bronx County, New York","1322","49",
"1400000US36005021002","Census Tract 210.02, Bronx County, New York","1298","57",
"1400000US36005021100","Census Tract 211, Bronx County, New York","1010","66",
"1400000US36005021200","Census Tract 212, Bronx County, New York","1254","67",
"1400000US36005021301","Census Tract 213.01, Bronx County, New York","1013","145",
"1400000US36005021302","Census Tract 213.02, Bronx County, New York","1132","84",
"1400000US36005021501","Census Tract 215.01, Bronx County, New York","1151","92",
"1400000US36005021502","Census Tract 215.02, Bronx County, New York","1068","61",
"1400000US36005021601","Census Tract 216.01, Bronx County, New York","1296","52",
"1400000US36005021602","Census Tract 216.02, Bronx County, New York","1314","53",
"1400000US36005021700","Census Tract 217, Bronx County, New York","1111","69",
"1400000US36005021800","Census Tract 218, Bronx County, New York","1296","69",
"1400000US36005021900","Census Tract 219, Bronx County, New York","1326","81",
"1400000US36005022000","Census Tract 220, Bronx County, New York","1197","69",
"1400000US36005022101","Census Tract 221.01, Bronx County, New York","1161","55",
"1400000US36005022102","Census Tract 221.02, Bronx County, New York","1148","39",
"1400000US36005022200","Census Tract 222, Bronx County, New York","1343","56",
"1400000US36005022300","Census Tract 223, Bronx County, New York","1122","83",
"1400000US36005022401","Census Tract 224.01, Bronx County, New York","1454","60",
"1400000US36005022403","Census Tract 224.03, Bronx County, New York","1449","102",
"1400000US36005022404","Census Tract 224.04, Bronx County, New York","1303","49",
"1400000US36005022500","Census Tract 225, Bronx County, New York","1188","111",
"1400000US36005022701","Census Tract 227.01, Bronx County, New York","1198","69",
"1400000US36005022702","Census Tract 227.02, Bronx County, New York","1118","75",
"1400000US36005022703","Census Tract 227.03, Bronx County, New York","1327","102",
"1400000US36005022800","Census Tract 228, Bronx County, New York","1425","65",
"1400000US36005022901","Census Tract 229.01, Bronx County, New York","1254","115",
"1400000US36005022902","Census Tract 229.02, Bronx County, New York","1174","72",
"1400000US36005023000","Census Tract 230, Bronx County, New York","1310","49",
"1400000US36005023100","Census Tract 231, Bronx County, New York","1177","75",
"1400000US36005023200","Census Tract 232, Bronx County, New York","1383","98",
"1400000US36005023301","Census Tract 233.01, Bronx County, New York","1101","70",
"1400000US36005023302","Census Tract 233.02, Bronx County, New York","1240","99",
"1400000US36005023501","Census Tract 235.01, Bronx County, New York","1277","85",
"1400000US36005023502","Census Tract 235.02, Bronx County, New York","1197","106",
"1400000US36005023600","Census Tract 236, Bronx County, New York","1299","94",
"1400000US36005023702","Census Tract 237.02, Bronx County, New York","1123","173",
"1400000US36005023703","Census Tract 237.03, Bronx County, New York","1178","70",
"1400000US36005023704","Census Tract 237.04, Bronx County, New York","1193","80",
"1400000US36005023800","Census Tract 238, Bronx County, New York","1432","120",
"1400000US36005023900","Census Tract 239, Bronx County, New York","1153","48",
"1400000US36005024000","Census Tract 240, Bronx County, New York","1304","197",
"1400000US36005024100","Census Tract 241, Bronx County, New York","1132","53",
"1400000US36005024300","Census Tract 243, Bronx County, New York","1110","63",
"1400000US36005024400","Census Tract 244, Bronx County, New York","1370","126",
"1400000US36005024501","Census Tract 245.01, Bronx County, New York","1115","79",
"1400000US36005024502","Census Tract 245.02, Bronx County, New York","1174","67",
"1400000US36005024600","Census Tract 246, Bronx County, New York","1430","110",
"1400000US36005024700","Census Tract 247, Bronx County, New York","1334","55",
"1400000US36005024800","Census Tract 248, Bronx County, New York","1414","102",
"1400000US36005024900","Census Tract 249, Bronx County, New York","-","**",
"1400000US36005025000","Census Tract 250, Bronx County, New York","1215","136",
"1400000US36005025100","Census Tract 251, Bronx County, New York","1193","102",
"1400000US36005025200","Census Tract 252, Bronx County, New York","1515","129",
"1400000US36005025300","Census Tract 253, Bronx County, New York","1216","54",
"1400000US36005025400","Census Tract 254, Bronx County, New York","1459","112",
"1400000US36005025500","Census Tract 255, Bronx County, New York","1125","101",
"1400000US36005025600","Census Tract 256, Bronx County, New York","1365","152",
"1400000US36005025700","Census Tract 257, Bronx County, New York","1367","95",
"1400000US36005026100","Census Tract 261, Bronx County, New York","1358","198",
"1400000US36005026300","Census Tract 263, Bronx County, New York","1123","90",
"1400000US36005026400","Census Tract 264, Bronx County, New York","1408","265",
"1400000US36005026500","Census Tract 265, Bronx County, New York","1212","62",
"1400000US36005026601","Census Tract 266.01, Bronx County, New York","1407","89",
"1400000US36005026602","Census Tract 266.02, Bronx County, New York","1274","96",
"1400000US36005026701","Census Tract 267.01, Bronx County, New York","1315","81",
"1400000US36005026702","Census Tract 267.02, Bronx County, New York","1286","78",
"1400000US36005026900","Census Tract 269, Bronx County, New York","1092","80",
"1400000US36005027300","Census Tract 273, Bronx County, New York","1302","64",
"1400000US36005027401","Census Tract 274.01, Bronx County, New York","1493","196",
"1400000US36005027402","Census Tract 274.02, Bronx County, New York","1524","269",
"1400000US36005027600","Census Tract 276, Bronx County, New York","-","**",
"1400000US36005027700","Census Tract 277, Bronx County, New York","1294","77",
"1400000US36005027900","Census Tract 279, Bronx County, New York","1361","67",
"1400000US36005028100","Census Tract 281, Bronx County, New York","1138","82",
"1400000US36005028300","Census Tract 283, Bronx County, New York","796","247",
"1400000US36005028400","Census Tract 284, Bronx County, New York","-","**",
"1400000US36005028500","Census Tract 285, Bronx County, New York","1499","88",
"1400000US36005028600","Census Tract 286, Bronx County, New York","1479","486",
"1400000US36005028700","Census Tract 287, Bronx County, New York","1390","136",
"1400000US36005028800","Census Tract 288, Bronx County, New York","1700","92",
"1400000US36005028900","Census Tract 289, Bronx County, New York","1275","73",
"1400000US36005029301","Census Tract 293.01, Bronx County, New York","1569","431",
"1400000US36005029302","Census Tract 293.02, Bronx County, New York","2089","158",
"1400000US36005029500","Census Tract 295, Bronx County, New York","1680","80",
"1400000US36005029600","Census Tract 296, Bronx County, New York","1384","37",
"1400000US36005029700","Census Tract 297, Bronx County, New York","1619","98",
"1400000US36005030000","Census Tract 300, Bronx County, New York","1422","81",
"1400000US36005030100","Census Tract 301, Bronx County, New York","400","177",
"1400000US36005030200","Census Tract 302, Bronx County, New York","1194","153",
"1400000US36005030701","Census Tract 307.01, Bronx County, New York","1915","178",
"1400000US36005030900","Census Tract 309, Bronx County, New York","1726","87",
"1400000US36005031000","Census Tract 310, Bronx County, New York","1468","233",
