"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US36005000100","Census Tract 1; Bronx County; New York","-","**",
"1400000US36005000200","Census Tract 2; Bronx County; New York","1939","559",
"1400000US36005000400","Census Tract 4; Bronx County; New York","1886","617",
"1400000US36005001600","Census Tract 16; Bronx County; New York","1097","208",
"1400000US36005001901","Census Tract 19.01; Bronx County; New York","1920","234",
"1400000US36005001902","Census Tract 19.02; Bronx County; New York","2131","227",
"1400000US36005001903","Census Tract 19.03; Bronx County; New York","-","**",
"1400000US36005001904","Census Tract 19.04; Bronx County; New York","-","**",
"1400000US36005002001","Census Tract 20.01; Bronx County; New York","446","88",
"1400000US36005002002","Census Tract 20.02; Bronx County; New York","362","258",
"1400000US36005002300","Census Tract 23; Bronx County; New York","614","165",
"1400000US36005002400","Census Tract 24; Bronx County; New York","-","**",
"1400000US36005002500","Census Tract 25; Bronx County; New York","1292","405",
"1400000US36005002701","Census Tract 27.01; Bronx County; New York","666","128",
"1400000US36005002702","Census Tract 27.02; Bronx County; New York","1224","181",
"1400000US36005002800","Census Tract 28; Bronx County; New York","1172","195",
"1400000US36005003100","Census Tract 31; Bronx County; New York","1591","223",
"1400000US36005003300","Census Tract 33; Bronx County; New York","1330","282",
"1400000US36005003500","Census Tract 35; Bronx County; New York","1340","178",
"1400000US36005003700","Census Tract 37; Bronx County; New York","427","357",
"1400000US36005003800","Census Tract 38; Bronx County; New York","1387","394",
"1400000US36005003900","Census Tract 39; Bronx County; New York","1074","271",
"1400000US36005004001","Census Tract 40.01; Bronx County; New York","1710","192",
"1400000US36005004100","Census Tract 41; Bronx County; New York","883","330",
"1400000US36005004200","Census Tract 42; Bronx County; New York","1304","223",
"1400000US36005004300","Census Tract 43; Bronx County; New York","882","341",
"1400000US36005004400","Census Tract 44; Bronx County; New York","544","132",
"1400000US36005004600","Census Tract 46; Bronx County; New York","1086","167",
"1400000US36005004800","Census Tract 48; Bronx County; New York","1349","112",
"1400000US36005005001","Census Tract 50.01; Bronx County; New York","1429","113",
"1400000US36005005002","Census Tract 50.02; Bronx County; New York","1611","167",
"1400000US36005005100","Census Tract 51; Bronx County; New York","634","101",
"1400000US36005005200","Census Tract 52; Bronx County; New York","972","258",
"1400000US36005005300","Census Tract 53; Bronx County; New York","1360","288",
"1400000US36005005400","Census Tract 54; Bronx County; New York","1655","178",
"1400000US36005005600","Census Tract 56; Bronx County; New York","1320","126",
"1400000US36005005902","Census Tract 59.02; Bronx County; New York","1269","122",
"1400000US36005006000","Census Tract 60; Bronx County; New York","1390","76",
"1400000US36005006100","Census Tract 61; Bronx County; New York","1344","88",
"1400000US36005006200","Census Tract 62; Bronx County; New York","888","274",
"1400000US36005006301","Census Tract 63.01; Bronx County; New York","1642","134",
"1400000US36005006302","Census Tract 63.02; Bronx County; New York","-","**",
"1400000US36005006400","Census Tract 64; Bronx County; New York","1688","171",
"1400000US36005006500","Census Tract 65; Bronx County; New York","1276","309",
"1400000US36005006700","Census Tract 67; Bronx County; New York","677","330",
"1400000US36005006800","Census Tract 68; Bronx County; New York","2028","216",
"1400000US36005006900","Census Tract 69; Bronx County; New York","1275","187",
"1400000US36005007000","Census Tract 70; Bronx County; New York","1913","172",
"1400000US36005007100","Census Tract 71; Bronx County; New York","1165","177",
"1400000US36005007200","Census Tract 72; Bronx County; New York","1559","260",
"1400000US36005007300","Census Tract 73; Bronx County; New York","1162","219",
"1400000US36005007400","Census Tract 74; Bronx County; New York","1456","228",
"1400000US36005007500","Census Tract 75; Bronx County; New York","1111","121",
"1400000US36005007600","Census Tract 76; Bronx County; New York","1705","82",
"1400000US36005007700","Census Tract 77; Bronx County; New York","1216","246",
"1400000US36005007800","Census Tract 78; Bronx County; New York","1814","249",
"1400000US36005007900","Census Tract 79; Bronx County; New York","704","290",
"1400000US36005008300","Census Tract 83; Bronx County; New York","1356","293",
"1400000US36005008400","Census Tract 84; Bronx County; New York","1728","220",
