group,geoid,hu_post,aff_units_post,aff_share_post
Bottom 5 OZs (floor applied),36081003900,620,0,0
Bottom 5 OZs (floor applied),36081014400,617,0,0
Bottom 5 OZs (floor applied),36055009602,614,0,0
Bottom 5 OZs (floor applied),36005012102,611,0,0
Bottom 5 OZs (floor applied),36085013301,547,0,0
High stock & ≤25% affordable (5),36061023000,4383,480,0.10951403148528405
High stock & ≤25% affordable (5),36061027900,4357,76,0.017443194858847832
High stock & ≤25% affordable (5),36061029100,4253,195,0.04584998824359276
High stock & ≤25% affordable (5),36081002500,4174,0,0
High stock & ≤25% affordable (5),36061026100,4035,144,0.035687732342007436
Top 5 OZs (by stock),36061023000,4383,480,0.10951403148528405
Top 5 OZs (by stock),36061027900,4357,76,0.017443194858847832
Top 5 OZs (by stock),36061029100,4253,195,0.04584998824359276
Top 5 OZs (by stock),36081002500,4174,0,0
Top 5 OZs (by stock),36061026100,4035,144,0.035687732342007436
