geoid,hu_post,aff_units_post,is_oz,other_units_post,aff_share_post,group
36061023000,4383,480,1,3903,0.10951403148528405,Top 5 OZs (by units)
36061027900,4357,76,1,4281,0.017443194858847832,Top 5 OZs (by units)
36061029100,4253,195,1,4058,0.04584998824359276,Top 5 OZs (by units)
36081002500,4174,0,1,4174,0,Top 5 OZs (by units)
36061026100,4035,144,1,3891,0.035687732342007436,Top 5 OZs (by units)
36085013301,547,0,1,547,0,Bottom 5 OZs (by units)
36005012102,611,0,1,611,0,Bottom 5 OZs (by units)
36055009602,614,0,1,614,0,Bottom 5 OZs (by units)
36081014400,617,0,1,617,0,Bottom 5 OZs (by units)
36081003900,620,0,1,620,0,Bottom 5 OZs (by units)
36061023000,4383,480,1,3903,0.10951403148528405,High stock & ≤25% affordable
36061027900,4357,76,1,4281,0.017443194858847832,High stock & ≤25% affordable
36061029100,4253,195,1,4058,0.04584998824359276,High stock & ≤25% affordable
36081002500,4174,0,1,4174,0,High stock & ≤25% affordable
36061026100,4035,144,1,3891,0.035687732342007436,High stock & ≤25% affordable
